05 Jul 2022,00:40:08,guido,1,1
05 Jul 2022,00:40:08,jose,0,0
05 Jul 2022,00:41:06,jose,1,1
05 Jul 2022,00:41:06,guido,0,0
05 Jul 2022,00:43:40,jose,0,0
05 Jul 2022,00:43:40,guido,0,0
05 Jul 2022,11:50:57,pablito,2,3
05 Jul 2022,11:50:57,pedrito,1,1
06 Jul 2022,01:14:45,abc123,0,0
06 Jul 2022,01:14:45,pablo,0,0
06 Jul 2022,01:14:45,jesi,0,0
06 Jul 2022,01:24:23,pablo,0,0
06 Jul 2022,01:24:23,jesi,0,0
06 Jul 2022,01:24:23,abcde12,0,0
06 Jul 2022,01:29:30,pablo,0,0
06 Jul 2022,01:29:30,abcd,0,0
06 Jul 2022,10:38:41,pablo,0,0
06 Jul 2022,10:38:41,abcd,0,0
06 Jul 2022,11:17:07,pablo,0,0
06 Jul 2022,11:17:07,abc123,0,0
06 Jul 2022,18:51:41,Pablo,0,0
06 Jul 2022,18:51:41,Carlos,0,0
07 Jul 2022,00:45:52,jose,0,0
07 Jul 2022,00:45:52,guido,0,0
